metric,value
accuracy,0.8628741800834824
balanced_accuracy,0.698692843008363
macro_f1,0.7028085748168723
high_risk_precision,0.2727272727272727
high_risk_recall,0.41058565612276854
high_risk_f1,0.32775
low_risk_precision,0.9564293304994687
low_risk_recall,0.7775377969762419
low_risk_f1,0.8577555396711937
no_risk_precision,0.9383868770575547
no_risk_recall,0.9079550759260785
no_risk_f1,0.9229201847794231
best_epoch,2.0
thr_high,0.4
thr_low,0.3
sequence_length,12.0
feature_count,79.0
